,Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr), ,Turnover (â‚¹ Cr),CPR,CPRh,CPRl,R1,R2,R3,S1,S2,S3,CPRWidth,crossed,worked
101,07-APR-2016,7630.4,7630.75,7535.85,7546.45,241684050.0,7709.23,,,7614.333333333333,7614.166666666666,7614.5,7637.666666666666,7661.333333333333,7684.666666666666,7590.666666666666,7567.333333333333,7543.666666666666,0.0043777087072705825,RS3,Y
102,08-APR-2016,7542.35,7569.35,7526.7,7555.2,147816460.0,5981.23,,,7570.333333333333,7558.166666666666,7582.5,7605.666666666666,7665.333333333333,7700.666666666666,7510.666666666666,7475.333333333333,7415.666666666666,0.3214301439830999,RS,Y
103,11-APR-2016,7577.8,7678.8,7516.85,7671.4,185353268.0,7055.61,,,7550.0,7552.5,7547.5,7574.0,7593.0,7617.0,7531.0,7507.0,7488.0,0.06622516556291391,R3S1,Y
104,12-APR-2016,7669.25,7717.4,7663.35,7708.95,168508978.0,6945.44,,,7621.666666666667,7646.333333333334,7597.0,7727.333333333334,7783.666666666667,7889.333333333334,7565.333333333334,7459.666666666667,7403.333333333334,0.6472774983599467,RS,Y
105,13-APR-2016,7777.15,7864.8,7772.2,7850.45,227217288.0,10071.44,,,7696.0,7702.0,7690.0,7729.0,7750.0,7783.0,7675.0,7642.0,7621.0,0.15592515592515593,R3S,Y
106,18-APR-2016,7908.15,7920.6,7842.75,7914.7,190258561.0,10356.03,,,7828.666666666667,7839.333333333334,7818.0,7885.333333333334,7920.666666666667,7977.333333333334,7793.333333333334,7736.666666666667,7701.333333333334,0.27250276760624126,R1S,Y
107,20-APR-2016,7950.05,7950.4,7877.55,7914.75,211630060.0,10069.83,,,7892.0,7903.0,7881.0,7942.0,7970.0,8020.0,7864.0,7814.0,7786.0,0.2787633046122656,R1S,Y
108,21-APR-2016,7953.65,7978.45,7884.1,7912.05,230577117.0,9613.3,,,7913.666666666667,7913.833333333334,7913.5,7950.333333333334,7986.666666666667,8023.333333333334,7877.333333333334,7840.666666666667,7804.333333333334,0.004212122488529628,R1S,N
109,22-APR-2016,7891.8,7923.35,7873.35,7899.3,188988540.0,7714.04,,,7924.666666666667,7918.333333333334,7931.0,7965.333333333334,8018.666666666667,8059.333333333334,7871.333333333334,7830.666666666667,7777.333333333334,0.15983847901067627,RS,N
110,25-APR-2016,7894.8,7911.0,7827.0,7855.05,150776959.0,7362.13,,,7898.333333333333,7898.666666666666,7898.0,7923.666666666666,7948.333333333333,7973.666666666666,7873.666666666666,7848.333333333333,7823.666666666666,0.008440599282541384,RS2,Y
